0RB---_0RC0LD_1LD1RC_0LA1LB	FAIL	fwd:lc=18,part=0,rc=0,s0=0 mir:lc=18,part=153,rc=18,s0=55 why:LR=143,RL1=90
0RB0LA_1LA0LC_0RD1LC_1RB1RD	FAIL	fwd:lc=36,part=0,rc=0,s0=0 mir:lc=18,part=0,rc=18,s0=0
0RB0LA_1LA1RC_0RD1RD_1LB0LB	FAIL	fwd:lc=18,part=0,rc=12,s0=0 mir:lc=12,part=0,rc=18,s0=0
0RB0LA_1LC1RD_0RD1LC_1LA1RB	FAIL	fwd:lc=36,part=0,rc=0,s0=0 mir:lc=18,part=162,rc=18,s0=45 why:LR=183
0RB0LB_1LC1RD_0RD0LC_1RB1LA	FAIL	fwd:lc=18,part=0,rc=29,s0=0 mir:lc=30,part=288,rc=18,s0=55 why:LR=143,RL1=90
0RB0LC_1LA1RB_0RD0LA_1RD1LC	FAIL	fwd:lc=18,part=0,rc=18,s0=0 mir:lc=36,part=90,rc=18,s0=4 why:LR=12
0RB0LC_1LC1RB_0LD1LA_0RD1RA	FAIL	fwd:lc=18,part=0,rc=0,s0=0 mir:lc=24,part=117,rc=18,s0=0
0RB0LC_1LC1RB_0LD1LA_1RC1RA	FAIL	fwd:lc=18,part=0,rc=0,s0=0 mir:lc=18,part=180,rc=18,s0=0
0RB0LC_1LC1RB_0RD1LA_1LA1RC	FAIL	fwd:lc=18,part=6,rc=2,s0=0 mir:lc=21,part=150,rc=18,s0=0
0RB0LC_1LC1RB_0RD1LA_1LC1RD	FAIL	fwd:lc=18,part=0,rc=0,s0=0 mir:lc=36,part=180,rc=18,s0=62 why:LR=150,RL1=108
0RB0LC_1LC1RB_1LD1LA_0RD1RB	FAIL	fwd:lc=19,part=0,rc=0,s0=0 mir:lc=21,part=162,rc=19,s0=82 why:LR=230,RL1=120
0RB0LC_1LC1RB_1RD1LA_1LB0LB	FAIL	fwd:lc=25,part=0,rc=0,s0=0 mir:lc=18,part=216,rc=24,s0=74 why:LR=220,RL1=102
0RB0LC_1LC1RB_1RD1LA_1LB1LB	FAIL	fwd:lc=25,part=0,rc=0,s0=0 mir:lc=18,part=216,rc=24,s0=74 why:LR=220,RL1=102
0RB0LC_1LC1RB_1RD1LA_1LC0LA	FAIL	fwd:lc=27,part=0,rc=0,s0=0 mir:lc=18,part=180,rc=26,s0=64 why:LR=186,RL1=90
0RB0LC_1LC1RB_1RD1LA_1LC1LB	FAIL	fwd:lc=27,part=0,rc=0,s0=0 mir:lc=18,part=180,rc=26,s0=64 why:LR=186,RL1=90
